CpG,logFC,P.Value,adj.P.Val,chr,pos,genes,UCSC_RefGene_Group,Relation_to_Island,n_genes,on_candidate,candidate_genes_hit
cg02808577,-0.0666904931935099,0.000207217632996804,0.766761580756231,chr16,31014523,STX1B,Body,OpenSea,1,FALSE,""
cg15952851,-0.0492647306454634,0.000208460327772875,0.766761580756231,chr1,155976943,"","",OpenSea,0,FALSE,""
cg26703534,-0.0737502926083211,0.000210751503960298,0.766761580756231,chr5,377358,AHRR,Body,S_Shelf,1,FALSE,""
cg00060641,0.0917897302335846,0.000211874352410562,0.766761580756231,chr10,47135256,LOC728643,TSS1500,OpenSea,1,FALSE,""
cg05476493,0.0553800496780173,0.00021304111649692,0.766761580756231,chr6,112552771,LAMA4,Body;Body;Body,OpenSea,1,FALSE,""
cg21916358,0.207997091011032,0.000214881827020472,0.766761580756231,chr21,15077562,"","",Island,0,FALSE,""
cg02883146,-0.0661791124729811,0.0002159518649136,0.766761580756231,chr15,76458365,C15orf27,Body,OpenSea,1,FALSE,""
cg13953455,0.0750934415124867,0.000216145610067975,0.766761580756231,chr13,36270924,LINC00445|MIR548F5,TSS1500;TSS1500;Body,OpenSea,2,FALSE,""
cg22631459,0.085673847807051,0.000217261008491672,0.766761580756231,chr19,10047726,OLFM2,TSS1500,S_Shore,1,FALSE,""
cg25530992,-0.0492177049320348,0.000217584640186269,0.766761580756231,chr19,8335030,"","",OpenSea,0,FALSE,""
cg04352529,0.0577422153326863,0.000218031322013454,0.766761580756231,chr2,173254813,"","",OpenSea,0,FALSE,""
cg13867334,-0.0731726451549181,0.000219340053419976,0.766761580756231,chr1,165867166,UCK2,Body,OpenSea,1,FALSE,""
cg01539133,0.0628988434851928,0.000219993832533627,0.766761580756231,chr19,4607324,"","",Island,0,FALSE,""
cg06912216,-0.121243625385265,0.000221184259192507,0.766761580756231,chr12,33049693,PKP2,1stExon;1stExon;5'UTR;5'UTR,Island,1,FALSE,""
cg03265956,-0.142618397959606,0.000222217918408301,0.766761580756231,chr5,140571170,PCDHB10,TSS1500,N_Shelf,1,FALSE,""
cg14063347,0.0706650188019291,0.000222569008006348,0.766761580756231,chr9,88207974,AGTPBP1,Body,OpenSea,1,FALSE,""
cg07548638,-0.0648277446846622,0.000222615621256024,0.766761580756231,chr8,15051678,SGCZ,Body,OpenSea,1,FALSE,""
cg17004583,0.184507393823509,0.000223831682623492,0.766761580756231,chr18,74966784,GALR1,Body,S_Shelf,1,FALSE,""
cg13645463,-0.0562930915646138,0.00022411889174928,0.766761580756231,chr11,64950431,CAPN1,ExonBnd;ExonBnd;ExonBnd;ExonBnd;Body;Body;Body;Body,N_Shore,1,FALSE,""
cg26581286,-0.0726146598187259,0.000224504173991477,0.766761580756231,chr9,112173386,PTPN3,Body;Body;Body;Body;Body;Body;Body,OpenSea,1,FALSE,""
cg23400942,0.0736785395582413,0.000224693613906,0.766761580756231,chr5,37835684,GDNF,TSS1500;5'UTR;TSS200,N_Shore,1,FALSE,""
cg22912611,-0.0560785389598034,0.000224755915435646,0.766761580756231,chr1,81694827,"","",OpenSea,0,FALSE,""
cg02094354,0.052291134137098,0.00022542524968708,0.766761580756231,chr5,35741350,SPEF2,Body,OpenSea,1,FALSE,""
cg23188616,-0.0555367670469534,0.00022662806836854,0.766761580756231,chr2,231737741,ITM2C,5'UTR;Body;Body;Body;Body,OpenSea,1,FALSE,""
cg16306651,0.10262327651078,0.000227112163449726,0.766761580756231,chr1,221957045,"","",OpenSea,0,FALSE,""
cg01132407,-0.352525601704292,0.000228771985896283,0.766761580756231,chr4,645781,PDE6B,TSS1500;Body;Body,N_Shore,1,FALSE,""
cg05101496,0.0908455335284249,0.000229291236218287,0.766761580756231,chr8,55382605,"","",N_Shore,0,FALSE,""
cg23565561,-0.0749607334973423,0.000234970690073886,0.766761580756231,chr9,41937096,"","",Island,0,FALSE,""
cg07060003,0.0433770451452908,0.000238988378407225,0.766761580756231,chr16,63652673,"","",OpenSea,0,FALSE,""
cg18070602,0.0534688626585404,0.000239585860968292,0.766761580756231,chr16,67262277,LRRC29|TMEM208,TSS1500;Body,S_Shore,2,FALSE,""
cg26990217,-0.0720551517391678,0.000241547717548798,0.766761580756231,chr2,38829956,HNRPLL,5'UTR;Body;1stExon,Island,1,FALSE,""
cg24466485,-0.0499162002268297,0.000242310729386,0.766761580756231,chr20,62783141,"","",OpenSea,0,FALSE,""
cg12319423,0.0652992977035151,0.000243583835293224,0.766761580756231,chr6,28555539,SCAND3,TSS1500,S_Shore,1,FALSE,""
cg18763431,-0.0511478012769285,0.00024469225807863,0.766761580756231,chr2,32189357,MEMO1,5'UTR;Body;Body;Body;Body;Body,OpenSea,1,FALSE,""
cg05798194,-0.0553230235190993,0.000244726362389467,0.766761580756231,chr7,98775470,KPNA7,Body,OpenSea,1,FALSE,""
cg21834463,0.0637207648010553,0.000246518670756181,0.766761580756231,chr6,134538515,SGK1,Body,OpenSea,1,FALSE,""
cg05808305,0.0384679478215762,0.000246808923784993,0.766761580756231,chr11,2765951,KCNQ1,Body;Body,OpenSea,1,FALSE,""
cg13416007,0.0525165941697278,0.000247112713849408,0.766761580756231,chr17,79296376,TMEM105,5'UTR,OpenSea,1,FALSE,""
cg08311477,0.0841707779130038,0.000247265644667761,0.766761580756231,chr19,31210246,"","",N_Shore,0,FALSE,""
cg22202131,0.0618143673445667,0.00025091979129963,0.766761580756231,chr4,129210019,PGRMC2,TSS1500,S_Shore,1,FALSE,""
cg08246520,0.0596107952845167,0.000251993305684649,0.766761580756231,chr1,25943862,MAN1C1,TSS200,N_Shore,1,FALSE,""
cg18116902,-0.0694368771708645,0.000252234226559893,0.766761580756231,chr1,84326666,"","",Island,0,FALSE,""
cg26256135,0.0700365118426539,0.000253511087166675,0.766761580756231,chr10,14608422,FAM107B,5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;Body;5'UTR,OpenSea,1,FALSE,""
cg08475411,0.0938574382069651,0.000254732395773851,0.766761580756231,chr17,14845851,"","",OpenSea,0,FALSE,""
cg04115366,-0.0848516822275063,0.000254961354908402,0.766761580756231,chr17,6663802,XAF1,Body;Body;Body;Body;Body,OpenSea,1,FALSE,""
cg22893248,-0.0645929278266612,0.000255054687914071,0.766761580756231,chr7,150020751,ACTR3C|LRRC61,1stExon;5'UTR;5'UTR;5'UTR,Island,2,FALSE,""
cg05230553,0.0652260528382675,0.000255411357981608,0.766761580756231,chr8,67974631,COPS5,TSS200,N_Shore,1,FALSE,""
cg14216630,0.0651382533071437,0.000257885535663145,0.766761580756231,chr9,107509795,NIPSNAP3A,TSS200,N_Shore,1,FALSE,""
cg20725261,0.0846347439347821,0.000257962197181402,0.766761580756231,chr20,47803425,STAU1,5'UTR;5'UTR;5'UTR;5'UTR;5'UTR,N_Shore,1,FALSE,""
cg02059453,-0.0453331437229049,0.000260586949461431,0.766761580756231,chr17,1782363,RPA1,Body,OpenSea,1,FALSE,""
cg24634916,-0.0522965490876338,0.000260996773338823,0.766761580756231,chr1,101855309,"","",OpenSea,0,FALSE,""
cg19118539,-0.087694372043922,0.000261543085599815,0.766761580756231,chr6,109803610,ZBTB24,5'UTR;5'UTR,N_Shore,1,FALSE,""
cg07480567,0.0627873315715818,0.000262459371435505,0.766761580756231,chr17,13505174,HS3ST3A1,1stExon;5'UTR,Island,1,FALSE,""
cg08208816,0.143258638474371,0.000262545919387006,0.766761580756231,chr19,44711625,"","",OpenSea,0,FALSE,""
cg25158320,-0.0661791182602973,0.00026439415438741,0.766761580756231,chr17,1665262,SERPINF1,1stExon;5'UTR,OpenSea,1,FALSE,""
cg21627589,0.0673847069028286,0.000264876033702641,0.766761580756231,chr17,45899047,OSBPL7,1stExon;5'UTR,OpenSea,1,FALSE,""
cg08463848,-0.0720881392505396,0.000266469774363296,0.766761580756231,chr19,36014401,SBSN,3'UTR;3'UTR;3'UTR,OpenSea,1,FALSE,""
cg06872331,0.0967915443237659,0.000267432714149057,0.766761580756231,chr2,119981960,STEAP3,5'UTR;5'UTR;5'UTR,S_Shore,1,FALSE,""
cg12656902,0.0719557148761504,0.000268874511231062,0.766761580756231,chr14,75934891,JDP2,Body;Body;Body;Body,OpenSea,1,FALSE,""
cg10069489,-0.0732178899768316,0.000269348316493296,0.766761580756231,chr2,113808530,IL1F8,5'UTR;5'UTR,Island,1,FALSE,""
cg21513316,-0.0937254474113851,0.000270438687198643,0.766761580756231,chr14,101532296,MIR410|MIR656,Body;TSS1500,Island,2,FALSE,""
cg15272928,-0.0650761578136277,0.000271906490674165,0.766761580756231,chr8,97479385,"","",OpenSea,0,FALSE,""
cg15026569,0.0703511682434567,0.000272027936818747,0.766761580756231,chr11,102860262,"","",OpenSea,0,FALSE,""
cg06651949,0.111651291351759,0.00027445865245815,0.766761580756231,chr2,237163537,ASB18,Body,OpenSea,1,FALSE,""
cg09426781,-0.0904447980530958,0.000276983924494505,0.766761580756231,chr17,73976080,TEN1|ACOX1|TEN1-CDK3,5'UTR;TSS1500;TSS1500;TSS1500;Body,S_Shore,3,FALSE,""
cg09791055,0.0570671580197837,0.000280084715193339,0.766761580756231,chr7,97910884,BRI3,TSS200;TSS200,Island,1,FALSE,""
cg25036371,-0.0764754448766111,0.000281449616566145,0.766761580756231,chr3,48647235,UQCRC1,TSS200,Island,1,FALSE,""
cg23084580,-0.0672522703891433,0.000281855798870927,0.766761580756231,chr11,44981697,"","",S_Shelf,0,FALSE,""
cg13039930,0.0520509188868651,0.000282550549554701,0.766761580756231,chr6,44225108,SLC35B2,Body;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;TSS200;TSS200,Island,1,FALSE,""
cg24392507,0.0553957361540502,0.00028317382896085,0.766761580756231,chr10,105001789,"","",OpenSea,0,FALSE,""
cg19847963,-0.0687644138320642,0.000283497190599614,0.766761580756231,chr12,131356126,RAN,TSS1500,Island,1,FALSE,""
cg12984356,0.0666422447582227,0.000283695592719196,0.766761580756231,chr15,91446813,MAN2A2,TSS1500,S_Shore,1,FALSE,""
cg15821835,0.0627810971978702,0.000285446685961452,0.766761580756231,chr8,67686767,SGK3,TSS1500;TSS1500;5'UTR,N_Shore,1,FALSE,""
cg12250052,0.0715945451010933,0.000287164545012123,0.766761580756231,chr1,94147466,BCAR3,TSS1500;TSS200;5'UTR,Island,1,FALSE,""
cg14793944,0.0845713516681396,0.000287837020201532,0.766761580756231,chr15,39720155,"","",OpenSea,0,FALSE,""
cg02501086,-0.0788437158413809,0.00028853272331578,0.766761580756231,chr8,26717875,ADRA1A,Body;Body;Body;Body,N_Shelf,1,FALSE,""
cg14814621,0.0739626860263883,0.000290096906709084,0.766761580756231,chr2,121529187,"","",OpenSea,0,FALSE,""
cg05907686,-0.143030561794586,0.000290294934343028,0.766761580756231,chr6,7389956,CAGE1|RIOK1,TSS200;TSS200;TSS200;TSS200,Island,2,FALSE,""
cg01876659,-0.0619260435868549,0.000290725423532124,0.766761580756231,chr1,51997197,"","",OpenSea,0,FALSE,""
cg15275255,-0.0640182543465868,0.00029131700677339,0.766761580756231,chr19,8207081,FBN3,Body,OpenSea,1,FALSE,""
cg01660930,0.0608868568806157,0.000291454326143078,0.766761580756231,chr6,6654816,LY86,Body,OpenSea,1,FALSE,""
cg06428304,-0.0665671548489678,0.000295115386980253,0.766761580756231,chr15,84614465,ADAMTSL3,Body;Body,OpenSea,1,FALSE,""
cg23170091,0.142156524249996,0.000297576054541597,0.766761580756231,chr3,195490094,MUC4,Body;Body;Body,S_Shore,1,FALSE,""
cg15539117,-0.0628215024142105,0.000297654104831017,0.766761580756231,chr2,85660999,SH2D6,TSS1500,N_Shelf,1,FALSE,""
cg14269010,0.0417805636252159,0.000298197743613012,0.766761580756231,chr9,2123764,SMARCA2,Body;Body,OpenSea,1,FALSE,""
cg05575921,-0.30952733073886,0.000299562131027032,0.766761580756231,chr5,373378,AHRR,Body,N_Shore,1,FALSE,""
cg00632853,-0.104231832717632,0.000299568373178318,0.766761580756231,chr9,132403257,ASB6,Body;Body,N_Shore,1,FALSE,""
cg24533673,-0.0375652333190467,0.00030005730235686,0.766761580756231,chr17,40814996,TUBG2,Body,S_Shelf,1,FALSE,""
cg08444092,0.0600716582097456,0.000301011647935559,0.766761580756231,chr1,6557167,PLEKHG5,TSS200;Body;Body,N_Shore,1,FALSE,""
cg16926526,-0.0562923157894443,0.000301402803835164,0.766761580756231,chr20,30947007,ASXL1,Body;Body,Island,1,FALSE,""
cg02295919,-0.0447869173773,0.000303865290306942,0.766761580756231,chr20,56493122,"","",OpenSea,0,FALSE,""
cg15014884,0.054470298260939,0.000305867388206116,0.766761580756231,chr3,123421969,MYLK,Body;Body;Body;Body,OpenSea,1,FALSE,""
cg22630180,-0.0358113037471855,0.000306315813989351,0.766761580756231,chr16,3897611,CREBBP,Body;Body,OpenSea,1,FALSE,""
cg18891926,-0.0514555533481603,0.000306649187765058,0.766761580756231,chr18,46533864,"","",OpenSea,0,FALSE,""
cg17527669,-0.0566152530797261,0.000306771772062918,0.766761580756231,chr17,27140843,FAM222B,TSS1500;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR,S_Shore,1,FALSE,""
cg22482787,0.0780364563959765,0.000308484448345091,0.766761580756231,chr1,168080625,GPR161,Body;Body;Body;Body;5'UTR;5'UTR;5'UTR,OpenSea,1,FALSE,""
cg07705810,0.0647042696115733,0.000309652925599011,0.766761580756231,chr5,16936470,MYO10,TSS200,N_Shore,1,FALSE,""
cg18908960,-0.0654673818177063,0.000309726672072091,0.766761580756231,chr22,43605087,SCUBE1,Body,N_Shore,1,FALSE,""
cg21713214,0.133830455236047,0.00031016716374148,0.766761580756231,chr1,53931663,DMRTB1,Body,OpenSea,1,FALSE,""
cg19366958,-0.0547778730254065,0.000310674759310574,0.766761580756231,chr6,13574150,SIRT5,TSS1500;TSS1500,N_Shore,1,FALSE,""
cg04500324,-0.0405884470835821,0.000311290539175706,0.766761580756231,chr15,67289583,"","",OpenSea,0,FALSE,""
cg00251824,0.0787272164273609,0.00031173214605873,0.766761580756231,chr8,641466,ERICH1,Body,S_Shelf,1,TRUE,ERICH1
cg27241804,-0.0864953374525472,0.000311936451554321,0.766761580756231,chr2,11063369,"","",OpenSea,0,FALSE,""
cg09322322,-0.0817337313169089,0.000312528977845195,0.766761580756231,chr17,77288385,RBFOX3,5'UTR,OpenSea,1,FALSE,""
cg11820979,-0.0708013815458037,0.000312816836429201,0.766761580756231,chr9,130636689,AK1,Body,N_Shelf,1,FALSE,""
cg23494690,-0.0820630867010452,0.000313138141813632,0.766761580756231,chr2,130385090,"","",OpenSea,0,FALSE,""
cg05916588,0.0574936465394959,0.00031642445389243,0.766761580756231,chr19,3700332,PIP5K1C,1stExon,Island,1,FALSE,""
cg04209727,-0.0742174232923104,0.000316991183114839,0.766761580756231,chr18,30350441,KLHL14,Body,Island,1,FALSE,""
cg21794816,0.0533285708978663,0.000317467958024609,0.766761580756231,chr17,77076092,ENGASE,Body,OpenSea,1,FALSE,""
cg03174486,0.0782388296473785,0.000317846293467859,0.766761580756231,chr3,52383038,DNAH1,Body,OpenSea,1,FALSE,""
cg25747777,-0.0731568972572996,0.000318613771517951,0.766761580756231,chr10,125188120,"","",OpenSea,0,FALSE,""
cg08761339,-0.0449896365143947,0.000318690938308911,0.766761580756231,chr14,94576947,IFI27,TSS1500;TSS200;TSS200;TSS200;TSS200;TSS200;TSS200;TSS200;TSS200;TSS200,OpenSea,1,FALSE,""
cg18082490,-0.0411399131025347,0.000319135971484304,0.766761580756231,chr1,171747089,"","",N_Shelf,0,FALSE,""
cg22047825,0.0697463124824592,0.000319327183083958,0.766761580756231,chr15,99640892,"","",Island,0,FALSE,""
cg12495649,-0.0580291447831132,0.000322407756943325,0.766761580756231,chr7,2120268,MAD1L1,Body;Body;Body,S_Shelf,1,FALSE,""
cg25974881,0.0565525306538364,0.000322974679339529,0.766761580756231,chr16,89423869,ANKRD11,Body;5'UTR;5'UTR;5'UTR,OpenSea,1,FALSE,""
cg15353666,-0.0589736078777107,0.000324325356942758,0.766761580756231,chr10,22282266,DNAJC1,Body,OpenSea,1,FALSE,""
cg08549604,0.0640752316651382,0.000326622330008285,0.766761580756231,chr2,45896601,PRKCE,Body,OpenSea,1,FALSE,""
cg00110192,0.0561963281679304,0.000326859553583547,0.766761580756231,chr15,67547258,IQCH|AAGAB,1stExon;1stExon;TSS200,Island,2,FALSE,""
cg25771649,0.0617095118871227,0.00032971454106178,0.766761580756231,chr10,43725277,RASGEF1A,5'UTR,Island,1,FALSE,""
cg19667211,0.107384594652898,0.00032977596729137,0.766761580756231,chr4,183244357,ODZ3,TSS1500,OpenSea,1,FALSE,""
cg06185352,0.0672931622293197,0.000330659582580238,0.766761580756231,chr16,49439238,"","",N_Shore,0,FALSE,""
cg03963552,0.0739243615524617,0.000331494520451262,0.766761580756231,chr7,150102761,LOC728743,TSS200,Island,1,FALSE,""
cg07673904,-0.0566268425898376,0.000334562323244868,0.766761580756231,chr2,40140519,"","",OpenSea,0,FALSE,""
cg15381511,-0.0925441349606305,0.000335478903356138,0.766761580756231,chr1,32189207,"","",OpenSea,0,FALSE,""
cg03130664,-0.0623110433172989,0.000335771783397766,0.766761580756231,chr17,42264852,TMUB2|C17orf65,5'UTR;5'UTR;1stExon;TSS1500;5'UTR,S_Shore,2,FALSE,""
cg13803584,0.0892834345919615,0.00033602480973307,0.766761580756231,chr9,115635662,SNX30,3'UTR,OpenSea,1,FALSE,""
cg22081142,0.087926560503907,0.000337471987343102,0.766761580756231,chr8,48515498,SPIDR,Body;Body;Body;Body,OpenSea,1,FALSE,""
cg12840917,0.0667195938520141,0.000338442844698485,0.766761580756231,chr22,37416304,MPST|TST,5'UTR;5'UTR;TSS1500;TSS200;Body,S_Shore,2,FALSE,""
cg05236658,-0.11240407121125,0.000338970031460571,0.766761580756231,chr9,15374688,"","",OpenSea,0,FALSE,""
cg06729806,0.129671556644881,0.000338993346993615,0.766761580756231,chr12,54350294,HOXC12,Body,S_Shore,1,FALSE,""
cg06635915,-0.0471016096514105,0.000339568757614735,0.766761580756231,chr2,62527284,"","",OpenSea,0,FALSE,""
cg17140992,0.0525222118869876,0.000341247545403001,0.766761580756231,chr15,96887137,"","",N_Shore,0,FALSE,""
cg14104789,0.0353581972400728,0.000342236051394,0.766761580756231,chr16,50300407,ADCY7,TSS200,OpenSea,1,FALSE,""
cg27215952,-0.105204228787584,0.000343191330119848,0.766761580756231,chr2,85619606,"","",OpenSea,0,FALSE,""
cg14324524,0.0515567503741215,0.000343331306147903,0.766761580756231,chr6,170563547,LOC154449,Body,N_Shore,1,FALSE,""
cg18525060,0.0559671550314141,0.000347975211611751,0.766761580756231,chr5,132791722,FSTL4,Body,OpenSea,1,FALSE,""
cg11313862,-0.0768338803037288,0.000348711368795133,0.766761580756231,chr6,152892780,SYNE1,Body;Body,OpenSea,1,FALSE,""
cg23976431,0.0700797094475837,0.000349371158938733,0.766761580756231,chr11,102867025,"","",OpenSea,0,FALSE,""
cg07790862,0.0735725647236333,0.000351758728952743,0.766761580756231,chr1,33592870,"","",N_Shore,0,FALSE,""
cg21322436,-0.0594233510656304,0.00035514157508709,0.766761580756231,chr7,145812842,CNTNAP2,TSS1500,N_Shore,1,FALSE,""
cg13583582,-0.0387706392737787,0.000355490382453147,0.766761580756231,chr17,56446226,RNF43,5'UTR;Body;Body,OpenSea,1,FALSE,""
cg01035472,0.0584709789606437,0.000360534895173227,0.766761580756231,chr11,18727965,IGSF22,Body,S_Shore,1,FALSE,""
cg01646289,-0.0776093760054814,0.000362228882821748,0.766761580756231,chr10,134733735,"","",Island,0,FALSE,""
cg25357304,0.0517893478604893,0.000363470885240826,0.766761580756231,chr3,139303604,NMNAT3,Body;5'UTR,OpenSea,1,FALSE,""
cg14984255,0.0699573800557181,0.000365856350939863,0.766761580756231,chr18,11908827,MPPE1,TSS200,Island,1,FALSE,""
cg06675496,0.0675171122259926,0.000365884443880613,0.766761580756231,chr2,24582688,ITSN2,5'UTR;5'UTR;5'UTR,Island,1,FALSE,""
cg26934362,0.0894795954031205,0.000367273147150322,0.766761580756231,chr5,1519265,LPCAT1,Body,N_Shelf,1,FALSE,""
cg21821990,0.0457845939045673,0.000367981344796498,0.766761580756231,chr11,64795449,SNX15,Body;Body,S_Shore,1,FALSE,""
cg12050002,0.0701440251846456,0.000369089627472526,0.766761580756231,chr7,132767001,CHCHD3,TSS200,Island,1,FALSE,""
cg08282385,0.0665239658271895,0.000369260539120712,0.766761580756231,chr19,52800115,ZNF480,TSS1500,N_Shore,1,FALSE,""
cg19180602,-0.0809175753542616,0.000369385977489724,0.766761580756231,chr17,72200560,RPL38,Body;Body,S_Shore,1,FALSE,""
cg26884667,0.10640228253133,0.000369401548448801,0.766761580756231,chr2,26828219,CIB4,Body,OpenSea,1,FALSE,""
cg17322683,-0.0508653379929599,0.000370741728078955,0.766761580756231,chr6,30038791,RNF39,3'UTR;3'UTR,N_Shore,1,FALSE,""
cg02197382,0.0688574715918677,0.000370989416454994,0.766761580756231,chr8,124428503,WDYHV1,TSS1500;TSS1500;TSS1500,N_Shore,1,FALSE,""
cg05800564,0.0753260356681228,0.000373104480976381,0.766761580756231,chr20,43540309,PABPC1L,Body,S_Shore,1,FALSE,""
cg18830527,-0.0859978666131918,0.000373202278738968,0.766761580756231,chr2,87018966,CD8A,TSS200;5'UTR;TSS200;TSS200,S_Shore,1,FALSE,""
cg23234361,-0.039293890476699,0.000375328854908567,0.766761580756231,chr2,36099470,"","",OpenSea,0,FALSE,""
cg15982746,-0.0587746506358225,0.000375751741683352,0.766761580756231,chr1,212588320,TMEM206,TSS200;TSS200,S_Shore,1,FALSE,""
cg15818729,0.037494233473394,0.000376051917167419,0.766761580756231,chr1,186613031,"","",OpenSea,0,FALSE,""
cg14435073,-0.135058893044752,0.000377107056571354,0.766761580756231,chr2,236674174,AGAP1,Body;Body,S_Shore,1,FALSE,""
cg20386875,0.04625382966204,0.000378284628870155,0.766761580756231,chr1,228675901,RNF187,Body,S_Shore,1,FALSE,""
cg08393952,-0.0662585915668765,0.000378764864375994,0.766761580756231,chr15,54374897,UNC13C,Body,OpenSea,1,FALSE,""
cg22194558,-0.064762227403276,0.000378884816568524,0.766761580756231,chr5,149748434,TCOF1,Body;Body;Body;Body;Body;Body,OpenSea,1,FALSE,""
cg18569988,-0.0628770451840777,0.000379290209276371,0.766761580756231,chr3,195679450,"","",N_Shore,0,FALSE,""
cg03359463,0.0832428085638699,0.000379612665469857,0.766761580756231,chr12,88456491,CEP290,Body,OpenSea,1,FALSE,""
cg09432154,0.0769784698172966,0.000381527178668413,0.766761580756231,chr3,151034669,MED12L|GPR87,Body;TSS200,OpenSea,2,FALSE,""
cg23120601,-0.076649099874389,0.000381751787868333,0.766761580756231,chr15,40583227,PLCB2,Body,Island,1,FALSE,""
cg07707172,0.0747193688965528,0.000382488422293008,0.766761580756231,chr2,28177219,BRE,Body;Body;Body;Body;Body;Body,OpenSea,1,FALSE,""
cg00631837,0.0575994948954238,0.000382834126297327,0.766761580756231,chr22,45404212,PHF21B,Body;Body,Island,1,FALSE,""
cg08162866,-0.0511529342121155,0.00038300405048243,0.766761580756231,chr6,42499748,"","",OpenSea,0,FALSE,""
cg00581152,0.079980286524829,0.000384874071187953,0.766761580756231,chr10,102094610,"","",OpenSea,0,FALSE,""
cg06585141,-0.0524455692777826,0.000386572452651357,0.766761580756231,chr10,129844711,PTPRE,Body;TSS1500,OpenSea,1,FALSE,""
cg27497900,-0.0745506162759576,0.000386674381023611,0.766761580756231,chr1,160312163,COPA|NCSTN,Body;Body;TSS1500,N_Shore,2,FALSE,""
cg07259811,-0.0831335199107488,0.000387960804861993,0.766761580756231,chr12,6936467,GPR162|LEPREL2,3'UTR;TSS1500;3'UTR,N_Shore,2,FALSE,""
cg03561212,-0.130350203384842,0.00038875723664995,0.766761580756231,chr16,12733143,"","",OpenSea,0,FALSE,""
cg01308862,0.074082082088325,0.000389698307013398,0.766761580756231,chr6,16158522,"","",OpenSea,0,FALSE,""
cg15031043,0.10250565113063,0.000390536882993104,0.766761580756231,chr4,7940719,LOC389199|AFAP1,TSS200;5'UTR;5'UTR,Island,2,FALSE,""
cg05663341,0.0593715814121671,0.000390911056200085,0.766761580756231,chr7,96634660,DLX6AS|DLX6,Body;TSS1500,Island,2,FALSE,""
cg02356593,0.0337422983794824,0.000390975376789071,0.766761580756231,chr3,93685725,PROS1,Body,OpenSea,1,FALSE,""
cg02726511,0.095169880579686,0.000391468860157285,0.766761580756231,chr2,85945326,"","",OpenSea,0,FALSE,""
cg03454607,0.103548328147314,0.000391865106365429,0.766761580756231,chr1,165512398,LOC400794|LRRC52,Body;TSS1500,OpenSea,2,FALSE,""
cg02704069,-0.0876772717752828,0.000392608604959499,0.766761580756231,chr19,54602735,OSCAR,Body;Body;Body;Body;Body;Body,S_Shelf,1,FALSE,""
cg00717062,-0.0429057791296139,0.000392971574150857,0.766761580756231,chr12,65997729,LOC100507065,Body;Body;Body;Body,OpenSea,1,FALSE,""
cg01670459,0.0507374259916863,0.000393231288082015,0.766761580756231,chr1,96981088,"","",OpenSea,0,FALSE,""
cg08051284,0.0363558648498457,0.000395212982107849,0.766761580756231,chr11,125790392,DDX25,Body,OpenSea,1,FALSE,""
cg23280704,0.0363149203123097,0.000395567806147913,0.766761580756231,chr15,90638431,IDH2,Body;5'UTR;5'UTR,OpenSea,1,FALSE,""
cg17319891,-0.136577990644946,0.000395602786712406,0.766761580756231,chr1,38226240,EPHA10,3'UTR;Body,N_Shore,1,FALSE,""
cg05064853,0.0534820770024285,0.000396526976201363,0.766761580756231,chr5,61000415,C5orf64,3'UTR;Body;Body;Body,OpenSea,1,FALSE,""
ch.17.53379803R,0.0567180554257053,0.000398043986436243,0.766761580756231,chr17,56024804,"","",OpenSea,0,FALSE,""
cg18352063,0.0424452192988347,0.000398274773852382,0.766761580756231,chr13,38923958,UFM1,1stExon;5'UTR,Island,1,FALSE,""
cg23026595,0.119541454843416,0.000398500908176285,0.766761580756231,chr19,41743989,AXL,Body;Body;Body,OpenSea,1,FALSE,""
cg13508391,0.0837747817011498,0.000399432460026187,0.766761580756231,chr12,3068378,TEAD4,TSS200;TSS200;TSS1500,Island,1,FALSE,""
ch.9.98957343R,0.0723489889223043,0.000399737624745053,0.766761580756231,chr9,99917522,"","",OpenSea,0,FALSE,""
cg04155862,-0.0664411003174406,0.00039980245742024,0.766761580756231,chr3,127541172,MGLL,5'UTR;5'UTR;1stExon,N_Shore,1,FALSE,""
cg23965590,0.060781622462643,0.000400329985780347,0.766761580756231,chr11,119133451,CBL,Body,OpenSea,1,FALSE,""
cg05395353,-0.0750188935835713,0.000401665811842279,0.766761580756231,chr15,25455573,SNORD115-15|SNORD115-21|PAR4|SNORD115-23,Body;Body;TSS1500;TSS1500,OpenSea,4,FALSE,""
cg16216349,0.0678055207509007,0.000403427531965777,0.766761580756231,chr4,185316749,IRF2,Body,OpenSea,1,FALSE,""
cg06421013,-0.0981566412038273,0.000403550290195622,0.766761580756231,chr20,19194143,SLC24A3,Body,S_Shore,1,FALSE,""
cg17507573,0.0684008388997536,0.000403861983469638,0.766761580756231,chr15,79382998,RASGRF1,5'UTR;1stExon;1stExon;5'UTR,Island,1,FALSE,""
cg12167688,0.0476574543473847,0.000407087707055191,0.766761580756231,chr17,2771225,RAP1GAP2,Body;Body,OpenSea,1,FALSE,""
cg25189904,-0.123970223142076,0.000407179978571083,0.766761580756231,chr1,68299493,GNG12,TSS1500,S_Shore,1,FALSE,""
cg05098827,0.0911123924185659,0.000409219271020134,0.766761580756231,chr2,217354750,"","",OpenSea,0,FALSE,""
